ADDRESS,LATITUDE,LONGITUDE
"8801 Old Seward Hwy, Anchorage, AK",61.2163129,-149.8948523
"1074 N Muldoon Rd, Anchorage, AK",61.2163129,-149.8948523
"48 College Rd, Fairbanks, AK",64.837845,-147.716675
"3900 Grants Mill Rd, Irondale, AL",33.5381601,-86.7072102
"2425 E Florence Blvd, Casa Grande, AZ",32.8793816,-111.7575614
"5757 E State Route 69, Prescott Valley, AZ",34.6488975,-112.280213830875
"1375 S Arizona Ave, Chandler, AZ",33.3067132,-111.8408489
"15255 N Northsight Blvd, Scottsdale, AZ",33.5091215,-111.8992365
"3360 El Camino Ave, Sacramento, CA",38.5815719,-121.4943996
"17835 Gale Ave, City of Industry, CA",34.0604565,-118.009033449214
"12540 Beach Blvd, Stanton, CA",37.5691072,-101.7935648
